price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,parkingSpace,priceByArea,floor,hasLift
475000,flat,sale,89.0,2.0,2.0,Málaga,Centro,Perchel sur - El Bulto,36.7106065,-4.4340905,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5337.0,6,1.0
300000,flat,sale,120.0,4.0,1.0,Málaga,Este,El Palo,36.719676,-4.3541654,good,False,,2500.0,bj,1.0
435000,flat,sale,80.0,2.0,2.0,Málaga,Centro,Cristo de la Epidemia,36.7283925,-4.4139504,good,False,,5438.0,6,1.0
2500000,flat,sale,236.0,2.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6902275,-4.4420718,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10593.0,,1.0
1595000,flat,sale,190.0,2.0,2.0,Málaga,Centro,Centro Histórico,36.7182585,-4.4177937,good,False,,8395.0,2,1.0
430000,flat,sale,92.0,3.0,2.0,Málaga,Carretera de Cádiz,Puerta Blanca - Almudena,36.6880804,-4.4562866,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4674.0,2,1.0
1400000,chalet,sale,338.0,5.0,3.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7299847,-4.3845032,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4142.0,,
1190000,chalet,sale,258.0,5.0,3.0,Málaga,Este,El Candado,36.7169015,-4.3408416,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4612.0,,
1868500,chalet,sale,477.0,6.0,5.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7320016,-4.3814996,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3917.0,,
690000,flat,sale,130.0,3.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7194064,-4.40803,renew,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5308.0,9,1.0
200000,flat,sale,67.0,3.0,1.0,Málaga,Carretera de Cádiz,Girón - Las Delicias - Pacífico,36.7005568,-4.441566,good,False,,2985.0,3,0.0
900000,penthouse,sale,100.0,2.0,2.0,Málaga,Centro,Centro Histórico,36.7213293,-4.4240061,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",9000.0,4,1.0
530000,flat,sale,81.0,3.0,2.0,Málaga,Martiricos - La Roca,Martiricos - La Roca,36.7293855,-4.4275794,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6543.0,,1.0
333000,flat,sale,74.0,2.0,1.0,Málaga,Centro,El Ejido,36.7259554,-4.4204964,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 38000.0}",4500.0,1,1.0
950000,flat,sale,231.0,5.0,2.0,Málaga,Este,El Palo,36.7266182,-4.3496089,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4113.0,5,1.0
880000,chalet,sale,242.0,4.0,3.0,Málaga,Este,Pedregalejo - Morlaco,36.7284451,-4.3699705,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3636.0,,
1100000,duplex,sale,294.0,4.0,2.0,Málaga,Teatinos,El Tejar - Hacienda Bizcochero,36.7160305,-4.4655567,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3741.0,13,1.0
1312700,chalet,sale,271.0,6.0,4.0,Málaga,Este,Malagueta - Monte Sancha,36.7238008,-4.4053531,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4844.0,,
1050000,flat,sale,201.0,3.0,2.0,Málaga,Centro,Centro Histórico,36.7193671,-4.4191132,renew,False,,5224.0,3,1.0
269900,flat,sale,79.0,3.0,1.0,Málaga,Centro,El Molinillo - Capuchinos,36.7268923,-4.4238964,good,False,,3416.0,1,1.0
1225000,flat,sale,134.0,4.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7192415,-4.4070567,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",9142.0,10,1.0
1395000,penthouse,sale,184.0,2.0,1.0,Málaga,Centro,Centro Histórico,36.7168942,-4.4221979,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 50000.0}",7582.0,5,1.0
675000,flat,sale,97.0,2.0,2.0,Málaga,Centro,La Goleta - San Felipe Neri,36.7208553,-4.4250449,good,False,,6959.0,2,
1100000,chalet,sale,174.0,4.0,2.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7307946,-4.3803359,good,False,,6322.0,,
950000,flat,sale,191.0,5.0,3.0,Málaga,Centro,Perchel sur - El Bulto,36.7166403,-4.4319438,renew,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4974.0,8,1.0
850000,flat,sale,149.0,3.0,2.0,Málaga,Centro,Centro Histórico,36.7203998,-4.4247724999999996,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5705.0,2,1.0
2272000,flat,sale,316.0,3.0,3.0,Málaga,Carretera de Cádiz,Pacífico,36.6836123,-4.4462693,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7190.0,10,1.0
650000,chalet,sale,219.0,6.0,3.0,Málaga,Teatinos,El Consul - El Romeral,36.722801,-4.4700583,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2968.0,,
1950000,flat,sale,200.0,3.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7202049,-4.4101662,good,False,,9750.0,3,1.0
339000,flat,sale,99.0,3.0,2.0,Málaga,Centro,La Trinidad,36.7245671,-4.4309865,good,False,,3424.0,4,1.0
370000,chalet,sale,137.0,2.0,1.0,Málaga,Bailén - Miraflores,Victoria Eugenia,36.7276337,-4.4347557,good,False,,2701.0,,
260000,flat,sale,52.0,1.0,1.0,Málaga,Centro,La Trinidad,36.7224627,-4.4287832,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5000.0,2,1.0
